date,center_id,city,donor_count,temp_max,precipitation,day_of_week,is_holiday
2022-01-01,center_chicago,Chicago,28,4.7,5.5,5,1
2022-01-02,center_chicago,Chicago,38,-0.4,7.0,6,0
2022-01-03,center_chicago,Chicago,73,-6.2,0.0,0,0
2022-01-04,center_chicago,Chicago,95,0.8,0.0,1,0
2022-01-05,center_chicago,Chicago,82,-0.4,0.1,2,0
2022-01-06,center_chicago,Chicago,73,-10.5,0.0,3,0
2022-01-07,center_chicago,Chicago,72,-10.9,0.0,4,0
2022-01-08,center_chicago,Chicago,51,-1.2,0.1,5,0
2022-01-09,center_chicago,Chicago,50,1.0,1.2,6,0
2022-01-10,center_chicago,Chicago,73,-8.4,0.2,0,0
2022-01-11,center_chicago,Chicago,100,1.0,0.0,1,0
2022-01-12,center_chicago,Chicago,101,4.8,0.2,2,0
2022-01-13,center_chicago,Chicago,90,3.5,0.0,3,0
2022-01-14,center_chicago,Chicago,73,1.1,0.0,4,0
2022-01-15,center_chicago,Chicago,55,-1.0,1.4,5,0
2022-01-16,center_chicago,Chicago,39,-3.1,0.0,6,0
2022-01-17,center_chicago,Chicago,40,-1.4,0.4,0,1
2022-01-18,center_chicago,Chicago,90,5.8,0.0,1,0
2022-01-19,center_chicago,Chicago,103,4.4,0.0,2,0
2022-01-20,center_chicago,Chicago,84,-7.8,0.0,3,0
2022-01-21,center_chicago,Chicago,71,-3.8,0.0,4,0
2022-01-22,center_chicago,Chicago,67,0.7,0.3,5,0
2022-01-23,center_chicago,Chicago,34,-3.6,7.0,6,0
2022-01-24,center_chicago,Chicago,79,-2.8,3.5,0,0
2022-01-25,center_chicago,Chicago,83,-8.3,0.0,1,0
2022-01-26,center_chicago,Chicago,77,-14.9,0.0,2,0
2022-01-27,center_chicago,Chicago,71,-0.9,0.0,3,0
2022-01-28,center_chicago,Chicago,62,-2.3,4.4,4,0
2022-01-29,center_chicago,Chicago,47,-7.5,0.1,5,0
2022-01-30,center_chicago,Chicago,43,-1.7,0.1,6,0
2022-01-31,center_chicago,Chicago,75,-1.0,0.0,0,0
2022-02-01,center_chicago,Chicago,104,6.1,2.4,1,0
2022-02-02,center_chicago,Chicago,81,3.3,19.1,2,0
2022-02-03,center_chicago,Chicago,79,-3.6,2.9,3,0
2022-02-04,center_chicago,Chicago,64,-4.8,0.0,4,0
2022-02-05,center_chicago,Chicago,48,-7.4,0.3,5,0
2022-02-06,center_chicago,Chicago,44,-2.8,0.0,6,0
2022-02-07,center_chicago,Chicago,81,-3.3,0.0,0,0
2022-02-08,center_chicago,Chicago,108,0.8,0.0,1,0
2022-02-09,center_chicago,Chicago,104,3.9,0.0,2,0
2022-02-10,center_chicago,Chicago,101,1.5,0.3,3,0
2022-02-11,center_chicago,Chicago,76,5.9,3.0,4,0
2022-02-12,center_chicago,Chicago,62,0.2,0.4,5,0
2022-02-13,center_chicago,Chicago,45,-7.9,0.0,6,0
2022-02-14,center_chicago,Chicago,84,-2.5,0.0,0,0
2022-02-15,center_chicago,Chicago,99,2.3,0.0,1,0
2022-02-16,center_chicago,Chicago,119,13.1,1.8,2,0
2022-02-17,center_chicago,Chicago,64,9.9,31.0,3,0
2022-02-18,center_chicago,Chicago,64,-1.9,2.2,4,0
2022-02-19,center_chicago,Chicago,55,-0.9,0.4,5,0
2022-02-20,center_chicago,Chicago,55,10.2,0.0,6,0
2022-02-21,center_chicago,Chicago,48,5.6,0.0,0,1
2022-02-22,center_chicago,Chicago,113,11.5,12.8,1,0
2022-02-23,center_chicago,Chicago,75,-1.4,0.0,2,0
2022-02-24,center_chicago,Chicago,76,-2.3,1.2,3,0
2022-02-25,center_chicago,Chicago,62,-2.8,4.4,4,0
2022-02-26,center_chicago,Chicago,64,1.4,0.2,5,0
2022-02-27,center_chicago,Chicago,53,5.9,0.0,6,0
2022-02-28,center_chicago,Chicago,120,12.1,0.0,0,0
2022-03-01,center_chicago,Chicago,104,7.6,0.0,1,0
2022-03-02,center_chicago,Chicago,125,12.1,0.3,2,0
2022-03-03,center_chicago,Chicago,86,4.2,0.2,3,0
2022-03-04,center_chicago,Chicago,75,3.0,0.0,4,0
2022-03-05,center_chicago,Chicago,73,20.0,0.0,5,0
2022-03-06,center_chicago,Chicago,57,16.2,9.2,6,0
2022-03-07,center_chicago,Chicago,91,2.9,13.0,0,0
2022-03-08,center_chicago,Chicago,97,3.2,0.0,1,0
2022-03-09,center_chicago,Chicago,94,5.8,0.0,2,0
2022-03-10,center_chicago,Chicago,95,0.2,0.3,3,0
2022-03-11,center_chicago,Chicago,88,1.6,3.1,4,0
2022-03-12,center_chicago,Chicago,52,-4.3,0.0,5,0
2022-03-13,center_chicago,Chicago,56,10.8,0.1,6,0
2022-03-14,center_chicago,Chicago,103,15.2,0.0,0,0
2022-03-15,center_chicago,Chicago,111,10.1,0.0,1,0
2022-03-16,center_chicago,Chicago,116,19.2,0.0,2,0
2022-03-17,center_chicago,Chicago,119,17.5,3.3,3,0
2022-03-18,center_chicago,Chicago,69,6.9,15.4,4,0
2022-03-19,center_chicago,Chicago,54,4.3,10.1,5,0
2022-03-20,center_chicago,Chicago,55,14.8,0.5,6,0
2022-03-21,center_chicago,Chicago,115,21.1,0.0,0,0
2022-03-22,center_chicago,Chicago,113,14.8,3.4,1,0
2022-03-23,center_chicago,Chicago,93,15.6,22.1,2,0
2022-03-24,center_chicago,Chicago,120,11.1,2.9,3,0
2022-03-25,center_chicago,Chicago,84,8.8,2.1,4,0
2022-03-26,center_chicago,Chicago,68,4.3,0.0,5,0
2022-03-27,center_chicago,Chicago,54,0.6,0.0,6,0
2022-03-28,center_chicago,Chicago,75,-1.6,0.0,0,0
2022-03-29,center_chicago,Chicago,98,4.7,0.0,1,0
2022-03-30,center_chicago,Chicago,93,16.1,24.5,2,0
2022-03-31,center_chicago,Chicago,87,13.9,27.0,3,0
2022-04-01,center_chicago,Chicago,79,4.3,1.1,4,0
2022-04-02,center_chicago,Chicago,54,5.7,5.3,5,0
2022-04-03,center_chicago,Chicago,46,6.4,0.1,6,0
2022-04-04,center_chicago,Chicago,96,12.4,10.7,0,0
2022-04-05,center_chicago,Chicago,95,7.9,0.0,1,0
2022-04-06,center_chicago,Chicago,96,13.6,15.2,2,0
2022-04-07,center_chicago,Chicago,94,9.9,1.3,3,0
2022-04-08,center_chicago,Chicago,83,4.9,3.9,4,0
2022-04-09,center_chicago,Chicago,63,6.0,2.1,5,0
2022-04-10,center_chicago,Chicago,60,13.9,0.0,6,0
2022-04-11,center_chicago,Chicago,106,14.8,2.5,0,0
2022-04-12,center_chicago,Chicago,106,18.2,0.0,1,0
2022-04-13,center_chicago,Chicago,101,21.7,13.2,2,0
2022-04-14,center_chicago,Chicago,104,15.8,6.1,3,0
2022-04-15,center_chicago,Chicago,96,12.0,1.1,4,0
2022-04-16,center_chicago,Chicago,60,7.9,0.0,5,0
2022-04-17,center_chicago,Chicago,55,3.7,0.0,6,0
2022-04-18,center_chicago,Chicago,90,6.6,6.4,0,0
2022-04-19,center_chicago,Chicago,100,6.8,0.2,1,0
2022-04-20,center_chicago,Chicago,90,9.9,0.9,2,0
2022-04-21,center_chicago,Chicago,96,19.5,5.9,3,0
2022-04-22,center_chicago,Chicago,95,15.9,3.7,4,0
2022-04-23,center_chicago,Chicago,82,25.8,0.1,5,0
2022-04-24,center_chicago,Chicago,56,23.1,5.0,6,0
2022-04-25,center_chicago,Chicago,110,19.2,0.0,0,0
2022-04-26,center_chicago,Chicago,108,10.9,0.0,1,0
2022-04-27,center_chicago,Chicago,95,5.9,0.0,2,0
2022-04-28,center_chicago,Chicago,100,8.6,1.3,3,0
2022-04-29,center_chicago,Chicago,101,14.3,0.0,4,0
2022-04-30,center_chicago,Chicago,59,19.8,23.3,5,0
2022-05-01,center_chicago,Chicago,57,16.4,8.0,6,0
2022-05-02,center_chicago,Chicago,102,13.1,0.0,0,0
2022-05-03,center_chicago,Chicago,69,9.1,25.8,1,0
2022-05-04,center_chicago,Chicago,89,8.9,0.6,2,0
2022-05-05,center_chicago,Chicago,83,9.9,8.6,3,0
2022-05-06,center_chicago,Chicago,66,8.6,9.9,4,0
2022-05-07,center_chicago,Chicago,80,12.3,0.0,5,0
2022-05-08,center_chicago,Chicago,58,16.5,0.0,6,0
2022-05-09,center_chicago,Chicago,112,23.5,0.0,0,0
2022-05-10,center_chicago,Chicago,123,29.4,0.0,1,0
2022-05-11,center_chicago,Chicago,126,25.9,3.3,2,0
2022-05-12,center_chicago,Chicago,111,29.6,0.0,3,0
2022-05-13,center_chicago,Chicago,96,29.0,0.0,4,0
2022-05-14,center_chicago,Chicago,72,26.1,0.0,5,0
2022-05-15,center_chicago,Chicago,58,20.9,0.1,6,0
2022-05-16,center_chicago,Chicago,110,24.6,0.8,0,0
2022-05-17,center_chicago,Chicago,123,23.3,0.0,1,0
2022-05-18,center_chicago,Chicago,109,15.9,7.2,2,0
2022-05-19,center_chicago,Chicago,109,28.5,0.2,3,0
2022-05-20,center_chicago,Chicago,105,30.5,0.3,4,0
2022-05-21,center_chicago,Chicago,54,20.2,38.5,5,0
2022-05-22,center_chicago,Chicago,64,16.1,1.3,6,0
2022-05-23,center_chicago,Chicago,117,13.4,0.0,0,0
2022-05-24,center_chicago,Chicago,127,15.4,0.0,1,0
