date,center_id,city,donor_count,temp_max,precipitation,day_of_week,is_holiday,month,year,day_of_year,is_weekend,season,donor_lag_7,donor_lag_14,rolling_7day_avg,rolling_14day_avg
2020-01-15,center_chicago,Chicago,1705,2.0,0.7,2,0,1,2020,15,0,0,1638.0,781.0,1255.857142857143,1258.5714285714287
2020-01-16,center_chicago,Chicago,1579,0.9,0.0,3,0,1,2020,16,0,0,1396.0,1424.0,1265.4285714285713,1324.5714285714287
2020-01-17,center_chicago,Chicago,1028,-1.6,0.4,4,0,1,2020,17,0,0,1286.0,1352.0,1291.5714285714287,1335.642857142857
2020-01-18,center_chicago,Chicago,924,2.3,14.4,5,0,1,2020,18,1,0,829.0,1113.0,1254.7142857142858,1312.5
2020-01-19,center_chicago,Chicago,709,-6.4,0.0,6,0,1,2020,19,1,0,702.0,805.0,1268.2857142857142,1299.0
2020-01-20,center_chicago,Chicago,668,-1.5,0.3,0,1,1,2020,20,0,0,1465.0,1631.0,1269.2857142857142,1292.142857142857
2020-01-21,center_chicago,Chicago,1252,-0.2,0.0,1,0,1,2020,21,0,0,1475.0,1723.0,1155.4285714285713,1223.357142857143
2020-01-22,center_chicago,Chicago,1662,2.1,0.0,2,0,1,2020,22,0,0,1705.0,1638.0,1123.5714285714287,1189.7142857142858
2020-01-23,center_chicago,Chicago,1430,0.7,4.7,3,0,1,2020,23,0,0,1579.0,1396.0,1117.4285714285713,1191.4285714285713
2020-01-24,center_chicago,Chicago,1264,3.2,6.6,4,0,1,2020,24,0,0,1028.0,1286.0,1096.142857142857,1193.857142857143
2020-01-25,center_chicago,Chicago,933,2.7,12.4,5,0,1,2020,25,1,0,924.0,829.0,1129.857142857143,1192.2857142857142
2020-01-26,center_chicago,Chicago,827,1.9,0.3,6,0,1,2020,26,1,0,709.0,702.0,1131.142857142857,1199.7142857142858
2020-01-27,center_chicago,Chicago,1472,1.8,0.0,0,0,1,2020,27,0,0,668.0,1465.0,1148.0,1208.642857142857
2020-01-28,center_chicago,Chicago,1612,0.9,0.0,1,0,1,2020,28,0,0,1252.0,1475.0,1262.857142857143,1209.142857142857
2020-01-29,center_chicago,Chicago,1666,0.6,0.2,2,0,1,2020,29,0,0,1662.0,1705.0,1314.2857142857142,1218.9285714285713
